Model,Brand,Date of Sale,Sale Price (€),Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location,Car Age at Sale
Audi A6 Avant (S line),Audi,2024-12-06,36408.0,2021,15268,Estate,Automatic,Diesel,Blue Audi A6Avant S line 40 TDI 204 PS S tronic 2.0 5dr,Kildare,3
Audi A6 Avant (Black Edition),Audi,2024-12-07,24953.0,2018,38918,Estate,Automatic,Diesel,Audi A6 Avant2.0 TDI ultra Black Edition S Tronic Euro 6 (s/s) 5dr1 previous owner,Limerick,6
Audi Q5 (Sport),Audi,2024-12-07,23436.0,2018,64601,SUV,Automatic,Diesel,Black Audi Q52.0 TDI QUATTRO SPORT 5d 188 BHP **QUATTRO** **DSG**2 previous owners,Clare,6
Audi A6 Avant (S line),Audi,2024-12-07,27162.0,2019,66178,Estate,Automatic,Diesel,Navy Audi A6Avant S line 40 TDI 204 PS S tronic 2.0 5dr,Cork,5
Audi RS Q3 (Vorsprung),Audi,2024-12-11,59637.0,2020,16562,SUV,Automatic,Petrol,Blue Audi RS Q3Sportback Vorsprung 400 PS S tronic 2.5 5dr2 previous owners,Tipperary,4
Audi RS4 Avant (FSI V8),Audi,2024-12-11,29366.0,2014,57100,Estate,Automatic,Petrol,Black Audi RS4 Avant4.2 FSI V8 S Tronic quattro Euro 5 5dr,Dublin,10
Audi A4 Avant (Black Edition),Audi,2024-12-11,25812.0,2017,13860,Estate,Manual,Diesel,Red Audi A4 AvantAudi A4 Avant 2.0 TDI 190 Black Edition 5dr Tech Pack2 previous owners,Clare,7
Audi A3 (CoD),Audi,2024-12-13,16337.0,2019,35780,Hatchback,Manual,Petrol,Grey Audi A335 TFSI SE Technik 5dr 1.51 previous owner,Galway,5
Audi Q2 (TFSI),Audi,2024-12-14,16732.0,2017,30326,SUV,Manual,Petrol,Blue Audi Q2Audi Q2 1.0 TFSI 115 SE 5dr 2WD2 previous owners,Limerick,7
Audi Q3 (CoD),Audi,2024-12-15,14548.0,2016,63169,SUV,Manual,Petrol,Blue Audi Q31.4 TFSI CoD S line Euro 6 (s/s) 5dr3 previous owners,Tipperary,8
Audi S3 (TFSI),Audi,2024-12-16,29376.0,2018,42132,Hatchback,Automatic,Petrol,Blue Audi S3TFSI Quattro Black Edition 5dr S Tronic 2.0,Limerick,6
Audi A6 Saloon (TDI V6),Audi,2024-12-17,29413.0,2019,45007,Saloon,Automatic,Diesel,Black Audi A650 TDI Quattro S Line 4dr Tip Auto 3.0,Dublin,5
Audi S3 (TFSI),Audi,2024-12-17,30322.0,2017,26018,Saloon,Automatic,Petrol,Black Audi S32.0 TFSI Black Edition S Tronic quattro Euro 6 (s/s) 4dr1 previous owner,Louth,7
Audi Q7 (S line),Audi,2024-12-17,31164.0,2016,49376,SUV,Automatic,Diesel,Black Audi Q73.0 TDI QUATTRO S LINE 5d 215 BHP ELECTRIC TAILGATE2 previous owners,Donegal,8
Audi A5 (S line),Audi,2024-12-18,23036.0,2017,19336,Coupe,Automatic,Petrol,Blue Audi A5 COUPE2.0 TFSI S Line 2dr S Tronic1 previous owner,Galway,7
Audi S3 (TFSI),Audi,2024-12-20,26177.0,2019,40008,Hatchback,Automatic,Petrol,Grey Audi S32.0 TFSI Sportback S Tronic quattro Euro 6 (s/s) 5dr2 previous owners,Dublin,5
Audi S5 (Black Edition),Audi,2024-12-20,19831.0,2016,61833,Hatchback,Automatic,Petrol,Grey Audi S5 Sportback3.0 Tfsi V6 Black Edition Sportback 5dr Petrol S Tronic Quattro Euro 6 (s/s) (333 Ps)2 previous owners,Dublin,8
Audi Q3 (SE),Audi,2024-12-20,12929.0,2015,70255,SUV,Manual,Diesel,Black Audi Q32.0 TDI SE 5dr2 previous owners,Dublin,9
Audi Q7 (TDI V6),Audi,2024-12-21,58376.0,2020,21975,SUV,Automatic,Diesel,"Navy Audi Q73.0 TDI QUATTRO S LINE BLACK EDITION 5d 282 BHP HUGE SPEC*1 KEEPER*22""ALLOYS1 previous owner",Monaghan,4
BMW 4 Series (M Sport),BMW,2024-01-02,15899.0,2016,75663,Convertible,Automatic,Diesel,Blue BMW 4 SERIES420d 2.0 190 Bhp M SPORT NAV 2dr,Galway,8
BMW 4 Series Gran Coupe (428i),BMW,2024-01-04,20641.0,2015,37197,Hatchback,Automatic,Petrol,Red BMW 4 Series Gran Coupe2.0 428i M Sport Auto Euro 6 (s/s) 5dr2 previous owners,Cork,9
BMW 1 Series (116i),BMW,2024-01-04,9453.0,2012,43305,Hatchback,Manual,Petrol,Red BMW 1 SERIES1.6 116I SE 5d 135 BHP BLUETOOTH TELEPHONE CONNECTION2 previous owners,Dublin,12
BMW 4 Series Gran Coupe (M Sport),BMW,2024-01-05,18819.0,2016,83413,Hatchback,Automatic,Diesel,Grey BMW 4 Series Gran Coupe3.0 435d M Sport Auto xDrive Euro 6 (s/s) 5dr3 previous owners,Cork,8
BMW X2 (18d),BMW,2024-01-07,19818.0,2019,28819,SUV,Manual,Diesel,Red BMW X2xDrive 18d SE 5dr 2.01 previous owner,Laois,5
BMW 3 Series (SE),BMW,2024-01-08,14244.0,2017,35373,Saloon,Manual,Diesel,Blue BMW 3 SeriesBMW 3 316d 2.0 SE 4dr1 previous owner,Sligo,7
BMW 1 Series (M Sport Shadow Edition),BMW,2024-01-08,16561.0,2018,38738,Hatchback,Manual,Petrol,Black BMW 1 SERIES1.5 118I M SPORT SHADOW EDITION 5d 134 BHP1 previous owner,Dublin,6
BMW X2 (Sport),BMW,2024-01-08,30481.0,2021,6740,SUV,Automatic,Petrol,Silver BMW X2 SeriesX2 sDrive20i Sport 2.0 5dr2 previous owners,Cavan,3
BMW 4 Series Gran Coupe (Sport),BMW,2024-01-10,12713.0,2015,101242,Hatchback,Automatic,Diesel,Black BMW 4 Series Gran Coupe2.0 420d Sport Auto Euro 6 (s/s) 5dr2 previous owners,Dublin,9
BMW 1 Series (118i),BMW,2024-01-10,8217.0,2015,131119,Hatchback,Manual,Petrol,Silver BMW 1 Series1.5 118i SE Euro 6 (s/s) 5dr2 previous owners,Galway,9
BMW 5 Series (540i),BMW,2024-01-10,23374.0,2018,77418,Saloon,Automatic,Petrol,BMW 5 Series3.0 540i SE Auto xDrive Euro 6 (s/s) 4dr1 previous owner,Laois,6
BMW 1 Series (Sport),BMW,2024-01-12,2758.0,2010,144154,Hatchback,Manual,Diesel,Black BMW 1 Series2.0 116d Sport Euro 5 (s/s) 5dr4 previous owners,Cork,14
BMW 1 Series (M Sport),BMW,2024-01-12,6956.0,2011,94996,Convertible,Manual,Diesel,Grey BMW 1 SERIES2.0 120D M SPORT 2d 175 BHP 3 MONTH WARRANTY LOW MILES M SPORT,Dublin,13
BMW 1 Series (M Sport),BMW,2024-01-12,9012.0,2013,80008,Hatchback,Manual,Diesel,Red BMW 1 Series2.0 118d M Sport Euro 5 (s/s) 5dr3 previous owners,Cavan,11
BMW 1 Series (M Sport),BMW,2024-01-12,10627.0,2015,57315,Hatchback,Manual,Diesel,Red BMW 1 Series2.0 118d M Sport Hatchback 3dr Diesel Manual Euro 6 (s/s) (150 ps)2 previous owners,Donegal,9
BMW X3 (SE),BMW,2024-01-14,5377.0,2012,155724,SUV,Automatic,Diesel,Red BMW X32.0 20d SE SUV 5dr Diesel Steptronic xDrive Euro 5 (s/s) (184 ps)6 previous owners,Tipperary,12
BMW 1 Series (120d),BMW,2024-01-14,16350.0,2017,50017,Hatchback,Manual,Diesel,Silver BMW 1 SERIES2.0 120D M SPORT 5d 188 BHP,Kerry,7
BMW X5 (SE),BMW,2024-01-14,22646.0,2017,90117,SUV,Automatic,Diesel,Navy BMW X53.0 XDRIVE30D SE 5d 255 BHP2 previous owners,Kerry,7
BMW 1 Series (M135i),BMW,2024-01-15,14400.0,2013,80237,Hatchback,Automatic,Petrol,Blue BMW 1 Series3.0 M135i Auto Euro 5 (s/s) 5dr5 previous owners,Waterford,11
BMW 3 Series (320d ED),BMW,2024-01-16,9745.0,2013,80691,Saloon,Automatic,Diesel,BMW 3 Series2.0 320d ED EfficientDynamics Business Auto Euro 5 (s/s) 4dr3 previous owners,Westmeath,11
BMW 7 Series (M Sport),BMW,2024-01-17,60176.0,2021,2982,Saloon,Automatic,Diesel,BMW 7 Series730d M Sport Saloon 3.0 4dr1 previous owner,Meath,3
BMW 1 Series (118i),BMW,2024-01-17,17742.0,2018,8446,Hatchback,Automatic,Petrol,Navy BMW 1 Series1.5 118i GPF Sport Auto Euro 6 (s/s) 5dr2 previous owners,Tipperary,6
BMW 1 Series (116i),BMW,2024-01-18,9023.0,2013,70718,Hatchback,Manual,Petrol,Navy BMW 1 Series1.6 116i Sport Euro 6 (s/s) 5dr3 previous owners,Dublin,11
BMW 4 Series Gran Coupe (M Sport),BMW,2024-01-18,24152.0,2019,16114,Hatchback,Automatic,Petrol,Red BMW 4 SERIES GRAN COUPE2.0 420I M SPORT GRAN COUPE 4d AUTO 181 BHP1 previous owner,Limerick,5
BMW M4 (Competition M),BMW,2024-01-19,73904.0,2022,3891,Convertible,Automatic,Petrol,Red BMW 4 SERIES3.0 M4 Competition Edition M xDrive Auto 4WD 2dr,Galway,2
BMW 4 Series (420i),BMW,2024-01-19,38468.0,2021,12206,Convertible,Automatic,Petrol,BMW 4 Series420i M Sport Convertible 2.0 2dr1 previous owner,Cork,3
BMW 4 Series Gran Coupe (M Sport),BMW,2024-01-20,24383.0,2018,29881,Hatchback,Automatic,Diesel,Navy BMW 4 Series Gran Coupe3.0 430d M Sport Auto Euro 6 (s/s) 5dr2 previous owners,Limerick,6
BMW 1 Series (116d),BMW,2024-01-21,16577.0,2019,47423,Hatchback,Manual,Diesel,Grey BMW 1 Series1.5TD 116d M Sport Shadow Edition 5 Door1 previous owner,Waterford,5
BMW 2 Series (220d),BMW,2024-01-22,21709.0,2019,27162,Coupe,Automatic,Diesel,Silver BMW 2 Series220d M Sport Coupe 2.0 2dr2 previous owners,Dublin,5
BMW 5 Series (520d),BMW,2024-01-23,11291.0,2015,116594,Saloon,Automatic,Diesel,Blue BMW 5 Series2.0 520d Luxury Auto Euro 6 (s/s) 4dr3 previous owners,Kildare,9
BMW 1 Series (116i),BMW,2024-01-24,5238.0,2011,70936,Hatchback,Manual,Petrol,Silver BMW 1 Series2.0 116i Sport Hatchback 5dr Petrol Manual Euro 5 (s/s) (122 ps)4 previous owners,Dublin,13
BMW M2 (Competition),BMW,2024-01-25,47462.0,2020,6841,Coupe,Automatic,Petrol,Navy BMW M23.0 BiTurbo Competition Coupe 2dr Petrol DCT Euro 6 (s/s) (410 ps)1 previous owner,Dublin,4
BMW M4 (BiTurbo),BMW,2024-01-25,37243.0,2017,36161,Coupe,Automatic,Petrol,Blue BMW M43.0 BiTurbo DCT (s/s) 2dr4 previous owners,Mayo,7
BMW X5 (25d),BMW,2024-01-26,22924.0,2015,47481,SUV,Automatic,Diesel,Red BMW X52.0 XDRIVE25D M SPORT 5d 231 BHP ULEZ+LOW MILEAGE+AMBIENT LIGHTING,Dublin,9
BMW 4 Series (420i),BMW,2024-01-26,19354.0,2018,53500,Coupe,Automatic,Petrol,Red BMW 4 Series2.0 420i GPF M Sport Auto Euro 6 (s/s) 2dr1 previous owner,Kildare,6
BMW M5 (i V8),BMW,2024-01-27,67247.0,2020,11535,Saloon,Automatic,Petrol,BMW M5 SeriesM5 Competition Saloon 4.4 4dr1 previous owner,Dublin,4
BMW 5 Series (M Sport),BMW,2024-01-29,12489.0,2008,76270,Saloon,Automatic,Diesel,Blue BMW 5 Series3.0 535d M Sport Steptronic Euro 4 4dr3 previous owners,Westmeath,16
BMW 1 Series (116d),BMW,2024-01-29,13643.0,2018,31200,Hatchback,Manual,Diesel,Blue BMW 1 SERIES1.5 116D SE BUSINESS 5d 114 BHP PARK SENSORS~D.A.B.~BLUE TOOTH,Louth,6
BMW 5 Series (M Sport),BMW,2024-02-01,17836.0,2017,92298,Saloon,Automatic,Diesel,Red BMW 5 Series2.0 520d M Sport Saloon 4dr Diesel Auto Euro 6 (s/s) (190 ps)2 previous owners,Louth,7
BMW 4 Series Gran Coupe (420d),BMW,2024-02-01,18196.0,2017,53606,Hatchback,Automatic,Diesel,Grey BMW 4 Series Gran Coupe2.0 420d M Sport Auto Euro 6 (s/s) 5dr,Dublin,7
BMW 3 Series (330e),BMW,2024-02-02,35251.0,2020,19294,Saloon,Automatic,Petrol Hybrid,Blue BMW 3 Series330e M Sport Saloon 2.0 4dr1 previous owner,Meath,4
BMW 3 Series (318d),BMW,2024-02-03,1151.0,2010,136429,Saloon,Manual,Diesel,Navy BMW 3 Series2.0 318d M Sport Euro 5 4dr5 previous owners,Dublin,14
BMW 2 Series (M235i),BMW,2024-02-06,18779.0,2015,41915,Convertible,Automatic,Petrol,"Black BMW M235I3.0 M235I 2d 322 BHP H/K, PRO NAV, ELEC.SEATS",Cork,9
BMW 5 Series (535d),BMW,2024-02-07,14293.0,2014,100491,Saloon,Automatic,Diesel,Black BMW 5 Series3.0 535d M Sport Auto Euro 6 (s/s) 4dr2 previous owners,Wexford,10
BMW M3 (BiTurbo),BMW,2024-02-07,36877.0,2016,51962,Saloon,Automatic,Petrol,BMW M33.0 DCT BiTurbo Competition Pack + Individual Azurite Black + HUD + 360 Camera + Opal White Leather 4dr3 previous owners,Dublin,8
BMW 3 Series (330e),BMW,2024-02-11,44566.0,2021,4096,Estate,Automatic,Petrol Hybrid,Blue BMW 3 Series330e M Sport Plus Edition Touring 2.0 5dr1 previous owner,Cork,3
BMW 4 Series (435i),BMW,2024-02-12,20123.0,2014,32453,Coupe,Automatic,Petrol,Navy BMW 4 Series3.0 435i M Sport Auto Euro 6 (s/s) 2dr4 previous owners,Cork,10
BMW X1 (M Sport),BMW,2024-02-12,30257.0,2021,7688,SUV,Manual,Petrol,Blue BMW X1sDrive 18i [136] M Sport 5dr 1.5,Dublin,3
BMW 4 Series (435d),BMW,2024-02-14,20368.0,2016,62266,Coupe,Automatic,Diesel,Red BMW 4 Series3.0 435d M Sport Coupe 2dr Diesel Auto xDrive Euro 6 (s/s) (313 ps)4 previous owners,Galway,8
BMW 5 Series (520d),BMW,2024-02-14,4389.0,2011,152662,Saloon,Manual,Diesel,Black BMW 5 Series2.0 520d SE Euro 5 4dr4 previous owners,Wicklow,13
BMW X1 (SE),BMW,2024-02-15,11046.0,2014,61658,SUV,Automatic,Diesel,Red BMW X12.0 20d SE Auto xDrive Euro 5 (s/s) 5dr,Tipperary,10
BMW 4 Series (M Sport),BMW,2024-02-16,11370.0,2013,85818,Coupe,Manual,Diesel,Blue BMW 4 Series2.0 420d M Sport Euro 6 (s/s) 2dr1 previous owner,Roscommon,11
BMW 3 Series (SE),BMW,2024-02-17,7850.0,2009,32394,Saloon,Manual,Petrol,Blue BMW 3 Series2.0 318i SE 4dr,Cork,15
BMW 1 Series (125i),BMW,2024-02-18,17951.0,2017,28012,Hatchback,Automatic,Petrol,Blue BMW 1 Series2L M Sport 125i 3dr,Louth,7
BMW X5 (40d),BMW,2024-02-20,13079.0,2011,107215,SUV,Automatic,Diesel,Blue BMW X53.0 40d M Sport Steptronic xDrive Euro 5 5dr,Wexford,13
BMW 1 Series (M Sport),BMW,2024-02-21,6057.0,2012,99588,Hatchback,Manual,Diesel,BMW 1 Series2.0 118d M Sport Euro 5 (s/s) 5dr4 previous owners,Louth,12
BMW 4 Series Gran Coupe (M Sport),BMW,2024-02-22,23910.0,2020,10453,Hatchback,Manual,Petrol,Black BMW 4 Series Gran Coupe420i M Sport Gran Coupe 2.0 5dr1 previous owner,Dublin,4
BMW X3 (20d),BMW,2024-02-22,25491.0,2019,35124,SUV,Automatic,Diesel,Black BMW X32.0 20d M Sport Auto xDrive Euro 6 (s/s) 5dr1 previous owner,Dublin,5
BMW X5 (30d),BMW,2024-02-23,54336.0,2019,18049,SUV,Automatic,Diesel,Silver BMW X5 SeriesX5 xDrive30d M Sport 3.0 5dr3 previous owners,Dublin,5
BMW 2 Series (220i),BMW,2024-02-24,25999.0,2020,18013,Coupe,Automatic,Petrol,Red BMW 2 Series220i M Sport Coupe 2.0 2dr2 previous owners,Donegal,4
BMW 3 Series (Sport Plus Edition),BMW,2024-02-24,6175.0,2011,110169,Saloon,Manual,Diesel,Grey BMW 3 Series2.0 320d Sport Plus Edition Euro 5 (s/s) 4dr,Limerick,13
BMW 5 Series (M Sport),BMW,2024-02-24,14074.0,2015,85371,Estate,Automatic,Diesel,Red BMW 5 SERIES2.0 520D M SPORT TOURING 5d 188 BHP,Dublin,9
BMW X4 (20d),BMW,2024-02-26,39361.0,2019,12112,SUV,Automatic,Diesel,Red BMW X4 SeriesX4 xDrive20d M Sport 2.0 5dr1 previous owner,Carlow,5
BMW 5 Series (M Sport),BMW,2024-03-03,14974.0,2013,33200,Saloon,Automatic,Diesel,Black BMW 5 Series2.0 520d M Sport Auto Euro 5 (s/s) 4dr1 previous owner,Offaly,11
BMW X1 (20d),BMW,2024-03-04,20786.0,2016,12491,SUV,Automatic,Diesel,BMW X1xDrive 20d xLine 5dr Step Auto 2.0,Dublin,8
BMW Z4 (35i),BMW,2024-03-04,11416.0,2009,84006,Convertible,Manual,Petrol,Blue BMW Z43.0 35i sDrive 2dr5 previous owners,Louth,15
BMW 1 Series (Sport Plus Edition),BMW,2024-03-04,4661.0,2013,132279,Coupe,Manual,Diesel,Black BMW 1 Series2.0 118d Sport Plus Edition Euro 5 (s/s) 2dr4 previous owners,Limerick,11
BMW 3 Series (M340d),BMW,2024-03-07,45169.0,2021,17302,Estate,Automatic,Diesel Hybrid,Navy BMW 3 SeriesM340d xDrive Touring 3.0 5dr1 previous owner,Meath,3
BMW X5 (30d),BMW,2024-03-08,25404.0,2015,70663,SUV,Automatic,Diesel,Silver BMW X5 SeriesX5 xDrive30d M Sport 3.0 5dr2 previous owners,Dublin,9
BMW 4 Series (M440d),BMW,2024-03-08,43842.0,2021,11844,Coupe,Automatic,Diesel Hybrid,BMW 4 SeriesM440d xDrive Coupe 3.0 2dr1 previous owner,Sligo,3
BMW 6 Series Gran Coupe (640d),BMW,2024-03-09,17590.0,2012,56287,Saloon,Automatic,Diesel,Grey BMW 6 Series Gran Coupe3.0 640d M Sport Auto Euro 5 (s/s) 4dr,Mayo,12
BMW X5 M (BiTurbo V8),BMW,2024-03-09,46051.0,2018,34337,SUV,Automatic,Petrol,Navy BMW X5 M4.4 BiTurbo V8 Auto xDrive Euro 6 (s/s) 5dr (5 Seat),Wicklow,6
BMW 2 Series Gran Coupe (M Sport),BMW,2024-03-11,31650.0,2021,13975,Saloon,Automatic,Petrol,Grey BMW 2 Series218i M Sport Gran Coupe 1.5 4dr1 previous owner,Dublin,3
BMW 3 Series (330d),BMW,2024-03-11,34496.0,2019,38435,Estate,Automatic,Diesel,BMW 3 Series3.0 330d M Sport Touring Auto xDrive Euro 6 (s/s) 5dr1 previous owner,Dublin,5
BMW 3 Series (Sport),BMW,2024-03-11,14435.0,2017,30450,Saloon,Manual,Petrol,Grey BMW 3 Series2.0 320i Sport Euro 6 (s/s) 4dr2 previous owners,Waterford,7
BMW 1 Series (Shadow Edition),BMW,2024-03-12,26441.0,2018,24127,Hatchback,Automatic,Petrol,Black BMW 1 Series3.0 M140i Shadow Edition Auto Euro 6 (s/s) 5dr3 previous owners,Clare,6
BMW 8 Series (M850i V8),BMW,2024-03-13,65147.0,2020,13008,Convertible,Automatic,Petrol,Silver BMW 8 SeriesM850i xDrive 2dr Auto 4.41 previous owner,Kerry,4
BMW 3 Series (M Sport),BMW,2024-03-14,10108.0,2010,106263,Coupe,Automatic,Diesel,"Blue BMW 3 SERIES3.0 325D M SPORT 2d AUTO-19"" ALLOYS-ELECTRIC MEMORY SEAT-CREAM BEIGE DAKOTA LEATHER-HEATED FRONT SEATS-REAL BAMBOO WOOD GRAIN TRIM-REAR PARKING SENSOR",Galway,14
BMW 3 Series (Sport),BMW,2024-03-16,15266.0,2017,62623,Saloon,Manual,Diesel,Silver BMW 3 Series316d Sport 4dr 2.01 previous owner,Cork,7
BMW 6 Series Gran Turismo (640i),BMW,2024-03-16,33167.0,2018,18762,Hatchback,Automatic,Petrol,BMW 6 Series640i xDrive M Sport GT 3.0 5dr2 previous owners,Dublin,6
BMW X2 (M Sport),BMW,2024-03-17,24637.0,2018,25262,SUV,Automatic,Diesel,Navy BMW X2 SeriesX2 xDrive20d M Sport 2.0 5dr1 previous owner,Laois,6
BMW 5 Series (535d),BMW,2024-03-18,20212.0,2015,34646,Saloon,Automatic,Diesel,Red BMW 5 SERIES535D M Sport 4Dr Step Auto 3.02 previous owners,Cork,9
BMW 3 Series (320i),BMW,2024-03-18,27821.0,2019,29206,Saloon,Automatic,Petrol,Blue BMW 3 Series2.0 320i M Sport Auto Euro 6 (s/s) 4dr,Dublin,5
BMW 3 Series (330e),BMW,2024-03-18,39164.0,2022,26,Saloon,Automatic,Petrol Hybrid,BMW 3 Series330e SE Pro Saloon 2.0 4dr1 previous owner,Dublin,2
BMW 5 Series (520d),BMW,2024-03-20,8990.0,2013,113403,Saloon,Automatic,Diesel,Red BMW 5 Series2.0 520d SE Auto Euro 6 (s/s) 4dr,Kildare,11
BMW 1 Series (Sport),BMW,2024-03-22,5200.0,2011,71444,Hatchback,Manual,Petrol,Grey BMW 1 Series2.0 116i Sport Hatchback 5dr Petrol Manual Euro 5 (s/s) (122 ps)5 previous owners,Cork,13
BMW X2 (20i),BMW,2024-03-22,28171.0,2019,13950,SUV,Automatic,Petrol,Silver BMW X2 SeriesX2 xDrive20i M Sport X 2.0 5dr1 previous owner,Westmeath,5
BMW 1 Series (M Sport),BMW,2024-03-23,7634.0,2014,74322,Hatchback,Manual,Diesel,Grey BMW 1 Series2.0 118d M Sport Euro 5 (s/s) 5dr5 previous owners,Meath,10
BMW X3 (20d),BMW,2024-03-24,21928.0,2017,55276,SUV,Automatic,Diesel,Red BMW X32.0 X3 XDRIVE20D XLINE AUTO 4WD 5dr,Galway,7
BMW 1 Series (Sport),BMW,2024-03-25,9207.0,2016,95058,Hatchback,Manual,Petrol,Black BMW 1 Series1.5 118i Sport Euro 6 (s/s) 5dr,Dublin,8
BMW 5 Series (530e),BMW,2024-03-25,21777.0,2018,77695,Saloon,Automatic,Petrol Hybrid,Black BMW 5 Series2.0 530e 9.2kWh M Sport Auto Euro 6 (s/s) 4dr,Meath,6
BMW 4 Series Gran Coupe (420d),BMW,2024-03-26,17048.0,2015,68463,Hatchback,Automatic,Diesel,Red BMW 4 SERIES2.0 420D XDRIVE M SPORT GRAN COUPE 4d 188 BHP + OVER 1200 5* REVIEWS,Limerick,9
BMW 3 Series (320i),BMW,2024-03-28,2835.0,2010,89223,Coupe,Manual,Petrol,Red BMW 3 Series2.0 320i M Sport Highline Euro 5 2dr4 previous owners,Galway,14
BMW Z4 (M Sport),BMW,2024-03-29,15639.0,2013,35191,Convertible,Automatic,Petrol,BMW Z42.0 20i M Sport Auto sDrive Euro 6 2dr,Tipperary,11
BMW 1 Series (M140i),BMW,2024-03-31,19686.0,2017,56002,Hatchback,Automatic,Petrol,Red BMW 1 SeriesM140i [Nav] Step Auto [Harman Kardon Sound] 3.0 5dr,Wicklow,7
BMW 4 Series Gran Coupe (435d),BMW,2024-04-01,24940.0,2018,85227,Hatchback,Automatic,Diesel,Silver BMW 4 Series Gran Coupe3.0 435d M Sport Auto xDrive Euro 6 (s/s) 5dr2 previous owners,Longford,6
BMW 5 Series (520d),BMW,2024-04-02,15103.0,2016,68696,Saloon,Automatic,Diesel,Blue BMW 5 Series2.0 520d M Sport Auto Euro 6 (s/s) 4dr2 previous owners,Cork,8
BMW 4 Series (MHT),BMW,2024-04-02,36029.0,2021,5390,Coupe,Automatic,Diesel Hybrid,BMW 4 Series2.0 420d MHT M Sport Auto Euro 6 (s/s) 2dr2 previous owners,Waterford,3
BMW 5 Series (M Sport),BMW,2024-04-03,4252.0,2008,183231,Estate,Manual,Diesel,BMW 5 Series3.0 530d M Sport Touring 5dr Diesel Manual Euro 4 (235 ps)4 previous owners,Dublin,16
BMW X6 (M Sport),BMW,2024-04-03,35307.0,2018,20813,SUV,Automatic,Diesel,Red BMW X63L M Sport 40d 5dr,Tipperary,6
BMW 4 Series (MHT),BMW,2024-04-04,36471.0,2021,16803,Coupe,Automatic,Diesel Hybrid,Silver BMW 4 Series420d M Sport Coupe 2.0 2dr2 previous owners,Dublin,3
BMW X1 (SE),BMW,2024-04-05,7575.0,2010,64112,SUV,Manual,Diesel,Black BMW X12.0 18d SE sDrive Euro 5 5dr,Westmeath,14
BMW 2 Series (M240i),BMW,2024-04-05,24174.0,2017,22154,Convertible,Automatic,Petrol,Blue BMW 2 SERIESM240I 2Dr [Nav] Step Auto 3.03 previous owners,Clare,7
BMW X5 (SE),BMW,2024-04-06,20372.0,2014,79657,SUV,Automatic,Diesel,Red BMW X52.0 XDRIVE25D SE 5DR 215 BHP HEATED SEATS + PARKING SENSORS,Cork,10
BMW 7 Series (M Sport),BMW,2024-04-08,27178.0,2015,91209,Saloon,Automatic,Diesel,Black BMW 7 Series3.0 730Ld M Sport Auto Euro 6 (s/s) 4dr,Laois,9
BMW M3 (BiTurbo),BMW,2024-04-10,42196.0,2017,18172,Saloon,Automatic,Petrol,Navy BMW M3 SeriesM3 Saloon Competition Package 3.0 4dr3 previous owners,Limerick,7
BMW 2 Series (218i),BMW,2024-04-13,18244.0,2018,24593,Coupe,Automatic,Petrol,Blue BMW 2 Series218i Sport Coupe 1.5 2dr2 previous owners,Cork,6
BMW X3 (M Sport),BMW,2024-04-15,20797.0,2016,54541,SUV,Automatic,Diesel,Navy BMW X32.0 20d M Sport Auto xDrive Euro 6 (s/s) 5dr2 previous owners,Dublin,8
BMW 1 Series (M Sport),BMW,2024-04-18,12768.0,2012,37487,Convertible,Manual,Petrol,Black BMW 1 Series3.0 135i M Sport Convertible 2dr Petrol Manual Euro 5 (306 ps)2 previous owners,Cork,12
BMW 1 Series (M140i),BMW,2024-04-19,23446.0,2018,33311,Hatchback,Automatic,Petrol,Silver BMW 1 Series3.0 M140i Shadow Edition 5 Door Sports HB,Wexford,6
BMW 4 Series Gran Coupe (M Sport),BMW,2024-04-23,24687.0,2018,82577,Hatchback,Automatic,Diesel,Silver BMW 4 SERIES3.0 435D XDRIVE M SPORT GRAN COUPE 4d 309 BHP CARBON M PERFORMANCE. BIG SPEC.,Limerick,6
BMW M4 (Competition),BMW,2024-04-24,33409.0,2017,43627,Coupe,Automatic,Petrol,Black BMW M43.0 M4 COMPETITION 2d 444 BHP2 previous owners,Limerick,7
BMW 1 Series (Sport),BMW,2024-04-25,10108.0,2013,70161,Hatchback,Manual,Petrol,Grey BMW 1 Series1.6 116i Sport Sports Hatch (s/s) 5dr,Dublin,11
BMW 5 Series (520d),BMW,2024-04-25,17960.0,2018,74812,Saloon,Automatic,Diesel,Black BMW 520D2.0 SE 4dr,Wexford,6
BMW 4 Series (420i),BMW,2024-04-26,12099.0,2014,100399,Coupe,Automatic,Petrol,Black BMW 4 Series2.0 420i M Sport Auto Euro 6 (s/s) 2dr4 previous owners,Dublin,10
BMW 3 Series (320i),BMW,2024-04-27,24173.0,2018,47915,Estate,Automatic,Petrol,Grey BMW 3 Series2.0 320i M Sport Shadow Edition Touring Auto xDrive Euro 6 (s/s) 5dr2 previous owners,Dublin,6
BMW 1 Series (116d),BMW,2024-04-27,10384.0,2017,92188,Hatchback,Automatic,Diesel,Black BMW 1 Series1.5 116d SE Auto Euro 6 (s/s) 5dr1 previous owner,Donegal,7
BMW 1 Series (118i),BMW,2024-04-29,12196.0,2015,65571,Hatchback,Manual,Petrol,Grey BMW 1 Series1.5 118i M Sport Euro 6 (s/s) 5dr1 previous owner,Mayo,9
