Model,Brand,Date of Sale,Sale Price (€),Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location,Car Age at Sale
Audi A1 (TDI),Audi,2024-01-26,9880.0,2013,77316,Hatchback,Manual,Diesel,Red Audi A1SPORTBACK TDI S LINE BLACK EDITION 2.0 5dr,Tipperary,11
Audi Q2 (S line),Audi,2024-01-26,23040.0,2018,15373,SUV,Automatic,Petrol,Blue Audi Q21.4 Tfsi S Line 5Dr S Tronic1 previous owner,Dublin,6
Audi TT (S line),Audi,2024-01-26,15865.0,2016,94779,Convertible,Automatic,Petrol,Navy Audi TT2.0 TFSI S line+HUGE SPEC+ Roadster 2dr Petrol S Tronic quattro Euro 6 (s/s) (230 ps),Wicklow,8
Audi A6 Avant (Black Edition),Audi,2024-01-27,12946.0,2014,120051,Estate,Automatic,Diesel,Black Audi A6 Avant2.0 TDI ultra Black Edition S Tronic Euro 6 (s/s) 5dr2 previous owners,Dublin,10
Audi Q2 (CoD),Audi,2024-01-28,15262.0,2020,11229,SUV,Manual,Petrol,Red Audi Q21.5 TFSI CoD 35 S line Euro 6 (s/s) 5dr1 previous owner,Dublin,4
Audi A7 (TDI V6),Audi,2024-01-30,19416.0,2016,64275,Hatchback,Automatic,Diesel,Audi A73.0 TDI V6 ultra S line Sportback S Tronic Euro 6 (s/s) 5dr3 previous owners,Mayo,8
Audi A5 (Black Edition Plus),Audi,2024-01-30,16815.0,2016,59380,Coupe,Manual,Diesel,Blue Audi A52.0 TDI 190 Quattro Black Edition Plus 2dr,Waterford,8
Audi A3 (Edition 1),Audi,2024-01-30,36253.0,2021,7603,Hatchback,Manual,Diesel,Silver Audi A3Sportback Edition 1 35 TDI 150 PS 6-speed 2.0 5dr,Dublin,3
Audi Q2 (TDI),Audi,2024-02-03,20893.0,2019,11446,SUV,Manual,Diesel,Grey Audi Q230 TDI Sport 5dr 1.6,Wicklow,5
Audi Q3 (TDI),Audi,2024-02-06,35335.0,2021,20294,SUV,Automatic,Diesel,Grey Audi Q335 TDI S Line 5dr S Tronic 2.0,Wexford,3
Audi S3 (TFSI),Audi,2024-02-07,8390.0,2008,97202,Hatchback,Manual,Petrol,Audi S32.0 TFSI quattro 3dr,Laois,16
Audi A6 Avant (TDI),Audi,2024-02-07,22299.0,2018,46853,Estate,Automatic,Diesel,Red Audi A6 Avant2.0 TDI ultra S line Estate 5dr Diesel S Tronic Euro 6 (s/s) (190 ps)1 previous owner,Dublin,6
Audi Q3 (S line),Audi,2024-02-08,32409.0,2019,17315,SUV,Automatic,Petrol,Blue Audi Q32.0 TFSI 40 S line S Tronic quattro Euro 6 (s/s) 5dr2 previous owners,Galway,5
Audi Q5 (S line Plus),Audi,2024-02-08,19203.0,2016,57210,SUV,Automatic,Diesel,Black Audi Q52.0 TDI S line Plus S Tronic quattro Euro 6 (s/s) 5dr1 previous owner,Dublin,8
Audi A1 (Black Edition),Audi,2024-02-08,7770.0,2012,98166,Hatchback,Manual,Diesel,Navy Audi A12.0 TDI Black Edition Euro 5 (s/s) 3dr,Clare,12
Audi A4 Avant (TFSI),Audi,2024-02-09,27410.0,2019,15563,Estate,Automatic,Petrol,Red Audi A435 TFSI Black Edition 5dr S Tronic 2.01 previous owner,Kilkenny,5
Audi Q3 (S line),Audi,2024-02-10,10447.0,2013,100213,SUV,Manual,Diesel,Blue Audi Q32.0 TDI QUATTRO S LINE 5d 138 BHP,Dublin,11
Audi A4 (S line),Audi,2024-02-11,13231.0,2017,132108,Saloon,Automatic,Diesel,Navy Audi A42.0 TDI ultra S line Saloon 4dr Diesel S Tronic Euro 6 (s/s) (190 ps)1 previous owner,Monaghan,7
Audi A5 (Black Edition Plus),Audi,2024-02-11,14686.0,2016,98927,Hatchback,Automatic,Diesel,"Grey Audi A52.0 TDI QUATTRO BLACK EDITION PLUS 5d 187 BHP FSH, like new, 7 seats, 12 months warranty long MOT",Kerry,8
Audi RS6 Avant (Carbon Black),Audi,2024-02-14,94385.0,2020,16843,Estate,Automatic,Petrol,Black Audi RS6RS 6 TFSI Quattro Carbon Black 5dr Tiptronic 4.0,Limerick,4
Audi A1 (Sport),Audi,2024-02-15,14900.0,2018,28029,Hatchback,Automatic,Petrol,Navy Audi A11.0 TFSI Sport Sportback S Tronic Euro 6 (s/s) 5dr (Nav)4 previous owners,Mayo,6
Audi Q3 (S line Edition),Audi,2024-02-15,20260.0,2017,31739,SUV,Manual,Diesel,Black Audi Q3S line Edition 2.0 TDI 150 PS 6-speed 5dr,Cork,7
Audi A6 Avant (Black Edition),Audi,2024-02-15,20282.0,2016,49899,Estate,Automatic,Diesel,Grey Audi A6AVANT TDI ULTRA BLACK EDITION 2.0 5dr3 previous owners,Kildare,8
Audi A3 (TFSI),Audi,2024-02-16,13186.0,2014,52991,Hatchback,Manual,Petrol,Black Audi A31.4 TFSI S line Sportback Euro 6 (s/s) 5dr2 previous owners,Galway,10
Audi Q3 (S line Plus),Audi,2024-02-17,19082.0,2016,45482,SUV,Automatic,Diesel,Audi Q32.0 TDI S line Plus S Tronic quattro Euro 6 (s/s) 5dr2 previous owners,Cork,8
Audi A1 (CoD),Audi,2024-02-18,13347.0,2016,41727,Hatchback,Manual,Petrol,Navy Audi A11.4 TFSI CoD Black Edition Euro 6 (s/s) 3dr2 previous owners,Cavan,8
Audi A3 (TDI),Audi,2024-02-18,6629.0,2016,130453,Hatchback,Manual,Diesel,Grey Audi A32.0 TDI Sport Sportback Euro 6 (s/s) 5dr (Nav)4 previous owners,Sligo,8
Audi S4 Avant (TFSI V6),Audi,2024-02-18,31838.0,2017,27758,Estate,Automatic,Petrol,Black Audi S4 AVANTS4 Quattro 5dr Tip Tronic 3.0,Galway,7
Audi Q2 (TFSI),Audi,2024-02-20,16954.0,2019,39685,SUV,Manual,Petrol,Navy Audi Q21.0 TFSI SPORT 5d 114 BHP NICE MILES / NEW MOT2 previous owners,Westmeath,5
Audi A7 (TDI V6),Audi,2024-02-20,32384.0,2018,65441,Hatchback,Automatic,Diesel,Navy Audi A750 Tdi Quattro S Line 5Dr Tip Auto 3.01 previous owner,Kildare,6
Audi A5 (TDI),Audi,2024-02-20,13706.0,2013,45517,Coupe,Automatic,Diesel,Black Audi A52.0 TDI S line Multitronic 2dr2 previous owners,Cork,11
Audi Q3 (CoD),Audi,2024-02-22,21668.0,2018,25865,SUV,Automatic,Petrol,Red Audi Q31.4 TFSI CoD Sport S Tronic Euro 6 (s/s) 5dr1 previous owner,Meath,6
Audi RS3 (Carbon Black),Audi,2024-02-22,65162.0,2022,1342,Saloon,Automatic,Petrol,"Black Audi A32.5 RS 3 TFSI QUATTRO CARBON BLACK 4d 395 BHP 2022 CAR, GREAT SPEC2 previous owners",Cork,2
Audi RS3 (TFSI),Audi,2024-02-22,43333.0,2020,9093,Hatchback,Automatic,Petrol,Navy Audi RS32.5 TFSI Sportback S Tronic quattro Euro 6 (s/s) 5dr2 previous owners,Dublin,4
Audi A4 Avant (S line Special Edition),Audi,2024-02-22,9222.0,2011,96121,Estate,Automatic,Diesel,Navy Audi A4 Avant2.7 TDI S line Special Edition Multitronic 5dr,Waterford,13
Audi A8 (TDI V6),Audi,2024-02-22,21323.0,2015,46853,Saloon,Automatic,Diesel,Silver Audi A83.0 TDI V6 Sport Executive Saloon 4dr Diesel Tiptronic quattro Euro 6 (s/s) (258 ps)4 previous owners,Dublin,9
Audi Q7 (TDI V6),Audi,2024-02-23,45219.0,2019,45120,SUV,Automatic,Diesel,Navy Audi Q73.0 TDI V6 50 Black Edition Tiptronic quattro Euro 6 (s/s) 5dr2 previous owners,Kilkenny,5
Audi Q2 (TFSI),Audi,2024-02-26,18989.0,2018,54195,SUV,Automatic,Petrol,Blue Audi Q21.4 TFSI CoD S line S Tronic Euro 6 (s/s) 5dr2 previous owners,Cork,6
Audi A6 Saloon (S line),Audi,2024-02-27,19965.0,2012,75054,Saloon,Automatic,Diesel,Audi A6 Saloon3.0 BiTDI V6 S line Tiptronic quattro Euro 5 (s/s) 4dr2 previous owners,Wicklow,12
Audi A3 (S line),Audi,2024-02-27,5004.0,2009,102152,Hatchback,Manual,Diesel,Red Audi A32.0 TDI S line Euro 4 3dr,Limerick,15
Audi Q7 (Black Edition),Audi,2024-03-03,40162.0,2018,68939,SUV,Automatic,Diesel,Blue Audi Q73.0 TDI V6 Black Edition Tiptronic quattro Euro 6 (s/s) 5dr,Dublin,6
Audi A3 (Edition 1),Audi,2024-03-03,33903.0,2021,17610,Hatchback,Automatic,Petrol,Silver Audi A3Sportback Edition 1 35 TFSI 150 PS S tronic 1.5 5dr1 previous owner,Cork,3
Audi A1 (S line),Audi,2024-03-03,21266.0,2019,10792,Hatchback,Manual,Petrol,Audi A1 SPORTBACK25 TFSI S Line 5dr 1.02 previous owners,Tipperary,5
Audi A1 (TFSI),Audi,2024-03-05,7113.0,2011,69303,Hatchback,Manual,Petrol,Blue Audi A11.4 TFSI Sport Euro 5 (s/s) 3dr2 previous owners,Laois,13
Audi TT (Sport),Audi,2024-03-05,27467.0,2019,6812,Coupe,Automatic,Petrol,Blue Audi TT Tfsi Sport Coupe2.0 TFSI SPORT 2DR Semi Automatic | KEYLESS START | LOW MILES,Monaghan,5
Audi A3 Cabriolet (S line),Audi,2024-03-06,15446.0,2015,50422,Convertible,Manual,Diesel,Black Audi A32.0TDi S-LINE CONVERTIBLE 6-SPEED 150 BHP LED DRL + Xenon / Rear Park Assist 2dr,Louth,9
Audi A1 (TFSI),Audi,2024-03-06,7389.0,2011,66374,Hatchback,Manual,Petrol,Navy Audi A11.4 TFSI Sport Euro 5 (s/s) 3dr,Meath,13
Audi Q5 (S line),Audi,2024-03-06,44235.0,2021,9200,SUV,Automatic,Petrol,Black Audi Q5 SPORTBACK45 TFSI Quattro S Line 5dr S Tronic 2.01 previous owner,Dublin,3
Audi SQ7 (TDI V8),Audi,2024-03-07,43297.0,2017,59418,SUV,Automatic,Diesel,"Blue Audi Q74.0 SQ7 TDI QUATTRO 5d 429 BHP Pan sun roof, Bose Sound2 previous owners",Wicklow,7
Audi A7 (TDI V6),Audi,2024-03-07,14651.0,2013,61160,Hatchback,Automatic,Diesel,Audi A7TDI Quattro 204 S Line 5dr S Tronic [5 Seat] 3.0,Roscommon,11
Audi TT (S line),Audi,2024-03-07,10054.0,2012,70047,Convertible,Automatic,Petrol,Black Audi TT2.0 TFSI S line Roadster S Tronic Euro 5 (s/s) 2dr4 previous owners,Donegal,12
Audi A5 (S line),Audi,2024-03-07,10186.0,2012,97893,Hatchback,Automatic,Diesel,Red Audi A53.0 TDI 204 S line 5dr Multitronic (NATIONWIDE DELIVERY),Tipperary,12
Audi A5 (TFSI),Audi,2024-03-08,19900.0,2017,42721,Coupe,Manual,Petrol,Black Audi A52.0 TFSI S line Euro 6 (s/s) 2dr3 previous owners,Dublin,7
Audi A1 (S line Style Edition),Audi,2024-03-09,8319.0,2013,89928,Hatchback,Manual,Diesel,Blue Audi A11.6 TDI S LINE STYLE EDITION 3d 103 BHP,Laois,11
Audi Q3 (Sport),Audi,2024-03-10,33999.0,2021,10402,SUV,Automatic,Diesel,Audi Q3Sport 35 TDI quattro 150 PS S tronic 2.0 5dr,Dublin,3
Audi A5 Cabriolet (TFSI),Audi,2024-03-11,15636.0,2013,46009,Convertible,Automatic,Petrol,Audi A5 Cabriolet2.0 TFSI S line Special Edition Multitronic Euro 6 (s/s) 2dr3 previous owners,Dublin,11
Audi SQ8 (Vorsprung),Audi,2024-03-14,78841.0,2019,47064,SUV,Automatic,Diesel,Blue Audi Q8Vorsprung TDI 435 PS tiptronic 4.0 5dr1 previous owner,Dublin,5
Audi A3 (SE Technik),Audi,2024-03-16,12758.0,2017,54599,Hatchback,Manual,Diesel,Grey Audi A3Sportback 1.6 TDI SE Technik (116PS) 5dr2 previous owners,Leitrim,7
Audi A1 (Sport),Audi,2024-03-17,14875.0,2018,21875,Hatchback,Manual,Petrol,Black Audi A1Sport Nav 1.4 TFSI 125 PS 6-speed 3dr1 previous owner,Kildare,6
Audi RS3 (TFSI),Audi,2024-03-18,40386.0,2018,47499,Hatchback,Automatic,Petrol,Blue Audi RS32.5 TFSI Sportback S Tronic quattro Euro 6 (s/s) 5dr,Donegal,6
Audi TT (Sport),Audi,2024-03-18,16664.0,2018,52996,Coupe,Manual,Petrol,Audi TT1.8T FSI Sport 2dr,Dublin,6
Audi A3 (TFSI),Audi,2024-03-19,15156.0,2017,18853,Hatchback,Manual,Petrol,Black Audi A31.0 TFSI Sport 5dr,Dublin,7
Audi Q5 (TFSI),Audi,2024-03-20,11256.0,2012,118796,SUV,Manual,Petrol,Grey Audi Q52.0 TFSI QUATTRO S LINE PLUS 5d 178 BHP,Kerry,12
