Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Audi A3 (TDI),Audi,22/03/2024,"€11,063.00",2013,"45,898",Hatchback,Manual,Diesel,Blue Audi A32.0 TDI SPORT 3d 148 BHP,Waterford
Audi SQ5 (TFSI V6),Audi,22/03/2024,"€36,001.00",2018,"44,048",SUV,Automatic,Petrol,Black Audi SQ53.0 TFSI quattro 354 PS tiptronic 5dr,Dublin
Audi A3 (TFSI),Audi,24/03/2024,"€5,703.00",2010,"65,491 miles",Hatchback,Automatic,Petrol,Audi A3TFSI SPORT 1.4 5dr,Offaly
Audi A3 (TDI),Audi,25/03/2024,"€9,986.00",2016,"92,391 miles",Saloon,Manual,Diesel,Red Audi A31.6 TDI SPORT NAV 4d 109 BHP ++DAB RADIO++CAMBELT DONE++,Wicklow
Audi A6 Saloon (S line),Audi,25/03/2024,"€26,358.00",2018,"65,389",Saloon,Automatic,Diesel,Red Audi A6 Saloon3.0 TDI V6 50 S line Tiptronic quattro Euro 6 (s/s) 4dr,Galway
Audi E-Tron (Vorsprung),Audi,25/03/2024,"€ 87,413",2022,"2,140",SUV,Automatic,Electric,Audi E-Tron55 Vorsprung Auto quattro 5dr 95kWh (11kW Charger)1 previous owner,Dublin
Audi A4 Cabriolet (Sport),Audi,25/03/2024,"€2,031.00",2008,"134,006 miles",Convertible,Manual,Diesel,Silver Audi A4 Cabriolet2.0 TDI Sport 2dr,Wicklow
Audi Q8 (Vorsprung),Audi,26/03/2024,"€64,483.00",2019,"22,648",SUV,Automatic,Diesel,Black Audi Q8Q8 Vorsprung 50 TDI quattro 286 PS tiptronic 3.0 5dr,Dublin
Audi A8 (S line),Audi,28/03/2024,"€34,790.00",2019,"48,163",Saloon,Auto,Diesel,Navy Audi A83.0 TDI V6 50 S line Tiptronic quattro Euro 6 (s/s) 4dr,Wicklow
Audi TT (Sport),Audi,28/03/2024,"€23,378.00",2018,"21,030",Coupe,Automatic,Petrol,Navy Audi TTCoup- Sport 2.0 TFSI quattro 230 PS S tronic 3dr,Cork
Audi A6 Saloon (TDI V6),Audi,29/03/2024,"€9,269.00",2010,"73,312",Saloon,Automatic,Diesel,Silver Audi A6 Saloon3.0 TDI V6 Le Mans Tiptronic quattro Euro 5 4dr,Galway
Audi Q5 (S line),Audi,29/03/2024,"€31,030.00",2018,"36,285",SUV,Automatic,Petrol,Red Audi Q5S line 2.0 TFSI quattro 252 PS S tronic 5dr1 previous owner,Roscommon
Audi S3 (TFSI),Audi,31/03/2024,"€30,412.00",2017,40838,Hatchback,Automatic,Petrol,Blue Audi S32.0 S3 SPORTBACK TFSI QUATTRO BLACK EDITION 5d 306 BHP BLACK EDITION+SUPER SPORT SEATS,Cork
