Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
BMW 1 Series (118d),BMW,01/10/2024,"€10,931.00",2013,"34,331",Hatchback,Automatic,Diesel,Black BMW 1 Series2.0 118d Sport (s/s) 3dr2 previous owners,Wexford
BMW 1 Series (114d),BMW,01/10/2024,"€7,069.00",2013,"82,193",Hatchback,Manual,Diesel,Silver BMW 1 Series1.6 114d Sport Euro 5 (s/s) 3dr,Dublin
BMW 3 Series (ED Plus),BMW,02/10/2024,"€14,714.00",2017,"55,829",Saloon,Automatic,Diesel,Red BMW 3 Series2.0 320d ED Plus Auto Euro 6 (s/s) 4dr3 previous owners,Galway
BMW 4 Series Gran Coupe (M Sport),BMW,02/10/2024,"€23,473.00",2018,"39,184",Hatchback,Automatic,Diesel,BMW 4 Series Gran Coupe2.0 420d M Sport Auto xDrive Euro 6 (s/s) 5dr2 previous owners,Galway
BMW 6 Series (640d),BMW,03/10/2024,"€13,795.00",2013,"103,339",Coupe,Automatic,Diesel,Red BMW 6 Series3.0 640d M Sport 2dr,Sligo
BMW X5 (40e),BMW,04/10/2024,"€26,202.00",2016,"92,255",SUV,Automatic,Petrol Plug-In Hybrid,Silver BMW X52.0 XDRIVE40E M SPORT 5d 242 BHP,Clare
BMW 3 Series (SE),BMW,05/10/2024,"€9,911.00",2014,74260,Saloon,Manual,Petrol,Blue BMW 3 Series2.0 320i SE Euro 6 (s/s) 4dr3 previous owners,Offaly
BMW 3 Series (325i),BMW,2024-10-06,"€5,677.00",2009,"101,366",Saloon,Automatic,Petrol,BMW 3 Series3.0 325i M Sport Steptronic Euro 4 4dr6 previous owners,Dublin
BMW 1 Series (M135i),BMW,06/10/2024,"€34,777.00",2020,"10,434",Hatchback,Automatic,Petrol,Black BMW 1 SeriesM135i xDrive 5dr Step Auto [Pro Pack] 2.0,Laois
BMW M4 (Competition),BMW,07/10/2024,"€34,163.00",2019,"13,302",Coupe,Manual,Petrol,Black BMW M43.0 BiTurbo GPF Competition Coupe 2dr Petrol Manual Euro 6 (s/s) (450 ps)1 previous owner,Tipperary
BMW 4 Series (M Sport),BMW,2024-10-09,"€17,293.00",2015,"75,123",Coupe,Automatic,Diesel,Blue BMW 4 SERIES3.0 430D XDRIVE M SPORT 2dr 255 BHP,Meath
BMW X1 (M Sport),BMW,09/10/2024,"€16,601.00",2016,"76,470 miles",SUV,Automatic,Diesel,Silver BMW X12.0 20d M Sport Auto xDrive Euro 6 (s/s) 5dr,Cork
BMW 1 Series (116d),BMW,10/10/2024,"€21,612.00",2019,"15,691 miles",Hatchback,Automatic,Diesel,Grey BMW 1 Series116d SE 5dr Step Auto Satellite Navigation 1.5,Limerick
BMW 3 Series (M Sport),BMW,2024-10-10,"€8,628.00",2012,"164,143",Saloon,Automatic,Diesel,BMW 3 Series2.0 320d M Sport (s/s) 4dr,Dublin
BMW X6 (40d),BMW,11/10/2024,"€60,458.00",2021,"7,922",SUV,Automatic,Diesel Hybrid,Black BMW X6 SeriesX6 xDrive40d M Sport 3.0 5dr1 previous owner,Dublin
