Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Mercedes-Benz GLC Class (GLC300d),Benz,2024-08-22,"€ 33,470",2019,"88,160",SUV,Automatic,Diesel,Mercedes-Benz Glc Class2.0 GLC300d AMG Line (Premium Plus) G-Tronic+ 4MATIC Euro 6 (s/s) 5dr1 previous owner,Leitrim
Mercedes-Benz GLA Class (Sport),Benz,2024-08-22,"€18,216.00",2017,"18,113",SUV,Manual,Diesel,Mercedes-Benz Gla-Class2.1 GLA 200 D SPORT 5d 134 BHP SAT-NAV AND BLUETOOTH2 previous owners,Dublin
Mercedes-Benz E Class (MHEV EQ Boost),Benz,22/08/2024,"€ 42,873",2019,"57,000",Convertible,Automatic,Petrol,Black Mercedes-Benz E ClassE53 4Matic+ Premium 2dr 9G-Tronic 3.0,Dublin
Mercedes-Benz A Class (AMG Line),Benz,23/08/2024,"€ 20,930",2019,"53,307",Hatchback,Automatic,Petrol,Black Mercedes-Benz A Class1.3L AMG Line A200 5dr,Cork
Mercedes-Benz C Class (Sport),Benz,23/08/2024,"€18,775.00",2017,"30,663 miles",Saloon,Automatic,Diesel,Blue Mercedes-Benz C Class Saloon2.1 C220d Sport (premium) Saloon 4dr Diesel G Tronic Plus Euro 6 (s/s) (170 Ps),Cork
Mercedes-Benz GLC Class (GLC220d),Benz,24/08/2024,"€ 26,994",2018,"36,183",SUV,Automatic,Diesel,Black Mercedes-Benz Glc Class2.1L AMG Line GLC220d 5dr,Dublin
Mercedes-Benz CLA Class (CLA45),Benz,24/08/2024,"€ 63,098",2021,7335,Saloon,Automatic,Petrol,Mercedes-Benz Cla Coupe2.0 AMG CLA 45 S 4MATICPLUS PLUS 4DR AUTOMATIC | DRIVER ASSIST PACK | PAN ROOF | AMG SEATS1 previous owner,Limerick
Mercedes-Benz C Class (C350e),Benz,2024-08-25,"€18,487.00",2016,"60,912",Estate,Automatic,Petrol Plug-In Hybrid,Red Mercedes-Benz C ClassC350 E SPORT 2.0 5dr3 previous owners,Dublin
Mercedes-Benz S Class (S320 CDI V6),Benz,25/08/2024,"€6,010.00",2009,"74,148",Saloon,Automatic,Diesel,Red Mercedes-Benz S Class3.0 S320 CDI V6 G-Tronic Euro 4 4dr6 previous owners,Dublin
Mercedes-Benz E Class (BlueEfficiency),Benz,26/08/2024,"€7,700.00",2011,"75,566",Coupe,Automatic,Diesel,Silver Mercedes-Benz E Class2.1 E220 CDI BlueEfficiency SE Edition 125 G-Tronic+ Euro 5 (s/s) 2dr,Dublin
Mercedes-Benz GLA Class (AMG Line),Benz,26/08/2024,"€23,210.00",2018,"38,951",SUV,Automatic,Diesel,Black Mercedes-Benz Gla ClassMercedes-Benz GLA 220d 2.1 4Matic AMG Line Premium 5dr Auto 4WD AMG Exclusive Pack COMAND1 previous owner,Tipperary
Mercedes-Benz GLE Class (GLE300d),Benz,27/08/2024,"€56,251.00",2021,"20,714",SUV,Automatic,Diesel,Black Mercedes-Benz Gle Class2.0 GLE300d AMG Line (Premium Plus) G-Tronic 4MATIC Euro 6 (s/s) 5dr1 previous owner,Louth
Mercedes-Benz E Class (AMG Line),Benz,27/08/2024,"€13,153.00",2015,"100,224 miles",Convertible,Automatic,Diesel,Blue Mercedes-Benz E Class2.1 E220 BlueTEC AMG Line Cabriolet G-Tronic+ Euro 6 (s/s) 2dr1 previous owner,Cork
Mercedes-Benz GLA Class (GLA200d),Benz,2024-08-28,"€22,390.00",2018,"30,086 miles",SUV,Automatic,Diesel,Blue Mercedes-Benz Gla Class2.1 GLA200d Sport (Executive) 7G-DCT 4MATIC Euro 6 (s/s) 5dr2 previous owners,Meath
Mercedes-Benz A Class (A180),Benz,2024-08-28,"€25,038.00",2020,"12,525",Hatchback,Automatic,Petrol,Blue Mercedes-Benz A Class1.3 A180 AMG Line Hatchback 5dr Petrol 7G-DCT Euro 6 (s/s) (136 ps)1 previous owner,Monaghan
Mercedes-Benz GLA Class (AMG Line),Benz,28/08/2024,"€ 41,176",2020,"15,785",SUV,Automatic,Petrol,Blue Mercedes-Benz Gla ClassGLA 200 AMG Line Premium Plus 5dr Auto 1.31 previous owner,Cork
Mercedes-Benz E Class (AMG Line),Benz,29/08/2024,"€22,698.00",2018,"61,057",Saloon,Automatic,Petrol,Red Mercedes-Benz E Class2.0 E200 AMG Line G-Tronic+ Euro 6 (s/s) 4dr,Dublin
Mercedes-Benz A Class (Sport),Benz,30/08/2024,"€21,326.00",2018,"32,765 miles",Hatchback,Automatic,Petrol,Black Mercedes-Benz A2001.3 Sport Executive DCT 5dr,Dublin
Mercedes-Benz C Class (AMG Line),Benz,31/08/2024,"€16,416.00",2016,"100,752 miles",Saloon,Automatic,Diesel Hybrid,Blue Mercedes-Benz C Class2.1 C300dh AMG Line G-Tronic+ Euro 6 (s/s) 4dr,Roscommon
Mercedes-Benz C Class (AMG Sport Edition),Benz,01/09/2024,"€8,291.00",2014,"128,053",Coupe,Automatic,Diesel,Blue Mercedes-Benz C Class2.1 C220 CDI AMG Sport Edition G-Tronic+ Euro 5 (s/s) 2dr,Cork
Mercedes-Benz E Class (E350d),Benz,2024-09-01,"€36,511.00",2019,"18,615",Estate,Automatic,Diesel,Red Mercedes-Benz E ClassE350d AMG Line Night Ed Premium + 5dr 9G-Tronic 2.92 previous owners,Tipperary
Mercedes-Benz Glb Class (GLB200),Benz,03/09/2024,"€45,112.00",2022,"2,544",SUV,Automatic,Petrol,Black Mercedes-Benz Glb EstateGLB 200 AMG Line Premium Plus 5dr 7G-Tronic 1.31 previous owner,Limerick
Mercedes-Benz E Class (E350 V6),Benz,03/09/2024,"€17,243.00",2014,"48,580",Saloon,Automatic,Diesel,Red Mercedes-Benz E ClassE350 BlueTEC AMG Sport 4dr 7G-Tronic 3.0,Dublin
Mercedes-Benz C Class (C220 CDI),Benz,04/09/2024,"€8,626.00",2012,"77,557",Saloon,Automatic,Diesel,Blue Mercedes-Benz C Class2.1 C220 CDI BlueEfficiency AMG Sport Plus G-Tronic+ Euro 5 (s/s) 4dr,Cork
