Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Volkswagen Golf (TSI EVO),Volkswagen,23/07/2024,"€17,248.00",2019,"31,556",Hatchback,Manual,Petrol,Blue Volkswagen GolfMK7 Facelift 1.5 TSI SE Nav EVO 130PS 5Dr,Cork
Volkswagen T-Roc (SEL),Volkswagen,2024-07-23,"€14,852.00",2018,"86,244",S.U.V.,Manual,Diesel,Volkswagen T-Roc1.6 SEL TDI 5d 114 BHP1 previous owner,Dublin
Volkswagen Golf (GTD),Volkswagen,2024-07-24,"€15,354.00",2016,"50,578",Hatchback,Manual,Diesel,"Silver Volkswagen Golf2.0 GTD 5d 181 BHP FULL SERVICE HISTORY, SAT NAV, B/T2 previous owners",Laois
Volkswagen Tiguan (SE),Volkswagen,26/07/2024,"€6,998.00",2008,"66,131",SUV,Manual,Petrol,Blue Volkswagen Tiguan1.4 TSI SE 4WD Euro 4 5dr,Dublin
Volkswagen Passat (TDI EVO),Volkswagen,26/07/2024,"€22,116.00",2020,"35,870",Estate,Manual,Diesel,Grey Volkswagen Passat2.0 TDI EVO SCR SEL 5dr Leather Seats,Meath
Volkswagen T-Roc (TSI),Volkswagen,26/07/2024,"€27,433.00",2022,"2,550",SUV,Manual,Petrol,Blue Volkswagen T-Roc1.0 TSI Style 5dr,Leitrim
Volkswagen Polo (BlueMotion Tech),Volkswagen,28/07/2024,"€9,387.00",2017,"60,974",Hatchback,Manual,Petrol,Blue Volkswagen Polo1.2 TSI BlueMotion Tech beats Euro 6 (s/s) 5dr2 previous owners,Dublin
Volkswagen Golf (Match),Volkswagen,28/07/2024,"€7,276.00",2011,"60,225",Hatchback,Manual,Petrol,Red Volkswagen Golf1.4 TSI Match 5dr2 previous owners,Dublin
Volkswagen Golf (BlueMotion Tech),Volkswagen,2024-07-28,"€7,204.00",2013,"84,557",Hatchback,Manual,Petrol,Blue Volkswagen Golf1.2 TSI BlueMotion Tech S Euro 5 (s/s) 5dr2 previous owners,Waterford
Volkswagen Passat (GT),Volkswagen,2024-07-29,"€17,330.00",2018,"61,263",Estate,Manual,Diesel,Black Volkswagen Passat2.0 TDI GT 5dr [Panoramic Roof],Leitrim
Volkswagen Golf (SE Nav),Volkswagen,30/07/2024,"€ 16,603",2017,"28,900",Hatchback,Automatic,Petrol,Black Volkswagen Golf1.4 TSI SE Nav DSG Euro 6 (s/s) 5dr1 previous owner,Limerick
Volkswagen Golf (SE),Volkswagen,30/07/2024,"€4,156.00",2009,"89,164",Estate,Automatic,Diesel,Silver Volkswagen Golf1.9 TDI SE DSG Euro 4 5dr,Dublin
Volkswagen Polo (BlueMotion Tech),Volkswagen,01/08/2024,"€9,423.00",2015,"50,602",Hatchback,Manual,Diesel,Red Volkswagen Polo1.4 TDI BlueMotion Tech SE Euro 6 (s/s) 5dr1 previous owner,Donegal
Volkswagen T-Roc (TDI),Volkswagen,02/08/2024,"€19,388.00",2020,"23,688",SUV,Manual,Diesel,Navy Volkswagen T-Roc1.6 TDI SE 5dr,Tipperary
Volkswagen Taigo (TSI),Volkswagen,03/08/2024,"€23,324.00",2022,"9,359",SUV,Manual,Petrol,Grey Volkswagen Taigo1.0 TSI 110 Life 5dr,Limerick
Volkswagen CC (GT),Volkswagen,03/08/2024,"€9,013.00",2015,"106,381",Saloon,Automatic,Diesel,Silver Volkswagen CC2.0 TDI BlueMotion Tech GT DSG Euro 6 (s/s) 4dr2 previous owners,Kildare
Volkswagen Tiguan (SEL),Volkswagen,03/08/2024,"€ 23,808",2019,"9,914",SUV,Manual,Diesel,Grey Volkswagen Tiguan2.0 TDI SEL 4Motion Euro 6 (s/s) 5dr,Waterford
Volkswagen Golf (Match Edition),Volkswagen,04/08/2024,"€18,521.00",2020,"16,265",Hatchback,Manual,Petrol,Navy Volkswagen Golf1.5 TSI EVO Match Edition 5dr,Cork
Volkswagen Scirocco (TDI),Volkswagen,2024-08-05,"€ 8,437",2014,"113,234",Hatchback,Automatic,Diesel,Volkswagen Scirocco2.0 TDI BlueMotion Tech GT DSG 3dr,Galway
Volkswagen Polo (BlueMotion Tech),Volkswagen,06/08/2024,"€7,795.00",2014,58295,Hatchback,Manual,Petrol,Grey Volkswagen Polo1.2 TSI SE 3dr,Donegal
Volkswagen Tiguan (BlueMotion Tech),Volkswagen,08/08/2024,"€16,232.00",2017,42835,SUV,Manual,Diesel,Silver Volkswagen Tiguan2.0 TDI BlueMotion Tech S SUV 5dr Diesel Manual Euro 6 (s/s) (115 ps),Cork
Volkswagen Tiguan (TDI),Volkswagen,12/08/2024,"€5,934.00",2009,"125,336 miles",SUV,Manual,Diesel,Black Volkswagen Tiguan2.0 TDI Sport 4WD 5dr4 previous owners,Cork
Volkswagen Polo (S),Volkswagen,12/08/2024,"€5,535.00",2012,"60,316 miles",Hatchback,Manual,Petrol,Navy Volkswagen Polo1.2 S Euro 5 3dr1 previous owner,Cork
Volkswagen Taigo (R-Line),Volkswagen,12/08/2024,"€26,348.00",2022,640,SUV,Manual,Petrol,Silver Volkswagen Taigo1.0 TSI 110 R-Line 5dr,Kildare
